date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:48	380228/380228	---M--	200	added ('OK')	image/jpeg	etag:%225cd44-5f17bced-b0329224ae089530;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/parallax2.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/parallax2.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:48	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:48%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/bg-11.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/bg-11.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:50	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:50%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/graph.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/graph.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:53	313375/313375	---M--	200	added ('OK')	image/jpeg	etag:%224c81f-5f175b03-7d62262d9f827c5d;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/people.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/people.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:54	257256/257256	---M--	200	added ('OK')	image/jpeg	etag:%223ece8-5f17bcec-b39d4a07cc616190;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/Program-management.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/Program-management.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/index1.css)
13:41:55	5823/5823	---M--	200	added ('OK')	image/png	etag:%2216bf-5f175ae3-eb3703365880634d;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/banner_bg.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/banner_bg.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/index1.css)
13:41:55	5855/5855	---M-Z	200	added ('OK')	text/css	etag:%2216df-5f175ad7-e8a07ecfceec290f;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/magnific-popup.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/magnific-popup.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index2.html)
13:41:56	259427/259427	---M--	200	added ('OK')	image/jpeg	etag:%223f563-5f17bcec-a2a9c879a0013d18;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/clientbg3.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/clientbg3.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/index1.css)
13:41:56	20598/20598	---M-Z	200	added ('OK')	text/css	etag:%225076-5f175ad8-16566eedb7b58f57;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/header2.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/header2.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index2.html)
13:41:57	5972/5972	---M-Z	200	added ('OK')	text/css	etag:%221754-5f175ad6-c5d2ba72ae6deda6;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/footer2.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/footer2.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index2.html)
13:41:58	18932/18932	---M-Z	200	added ('OK')	text/css	etag:%2249f4-5f175ad6-6d3d9e53cf29b171;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/index2.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/index2.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index2.html)
